date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2020-04-01,BRF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,681.0,381,position
2020-04-01,BRF,202005,690.0,704.0,681.0,681.0,-9.0,-1.3,45,0.0,0,after_market
2020-04-01,BRF,202006,795.0,799.0,774.0,774.0,-30.0,-3.73,63,774.0,435,position
2020-04-01,BRF,202006,818.0,833.0,789.5,791.0,-13.0,-1.62,77,0.0,0,after_market
2020-04-01,BRF,202007,881.0,881.0,874.5,874.5,7.0,0.81,3,874.5,3,position
2020-04-01,BRF,202007,910.5,910.5,910.5,910.5,43.0,4.96,2,0.0,0,after_market
2020-04-01,BRF,202008,0.0,0.0,0.0,0.0,0.0,0.0,0,969.0,0,position
2020-04-01,BRF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,913.5,15,position
2020-04-01,BRF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2020-04-01,BRF,202106,0.0,0.0,0.0,0.0,0.0,0.0,0,742.0,0,position
2020-04-01,BRF,202106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2020-04-01,BRF,202006/202007,100.0,100.0,100.0,100.0,0.0,0.0,1,0.0,0,after_market
2020-04-01,CAF,202004,54.3,54.3,53.7,53.7,-0.5,-0.92,8,53.7,96,position
2020-04-01,CAF,202005,53.6,53.6,53.6,53.6,-0.6,-1.11,1,53.6,12,position
2020-04-01,CAF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,53.7,1,position
2020-04-01,CAF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,53.8,0,position
2020-04-01,CAF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,54.3,0,position
2020-04-01,CBF,202004,19.0,19.0,18.75,18.75,-0.1,-0.53,73,18.75,462,position
2020-04-01,CBF,202005,18.9,18.9,18.7,18.7,-0.2,-1.06,87,18.7,107,position
2020-04-01,CBF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,0,position
2020-04-01,CBF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,0,position
2020-04-01,CBF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,18.95,0,position
2020-04-01,CBF,202004/202005,-0.05,-0.05,-0.06,-0.05,0.0,0.0,22,0.0,0,position
2020-04-01,CCF,202004,13.6,13.8,13.6,13.8,0.05,0.36,957,13.8,1416,position
2020-04-01,CCF,202005,13.65,13.8,13.6,13.8,0.05,0.36,538,13.8,913,position
2020-04-01,CCF,202006,13.65,13.75,13.65,13.75,0.0,0.0,20,13.75,191,position
2020-04-01,CCF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,13.9,193,position
2020-04-01,CCF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,13.95,20,position
2020-04-01,CCF,202004/202005,-0.04,-0.02,-0.04,-0.02,0.0,0.0,148,0.0,0,position
2020-04-01,CDF,202004,272.0,274.5,269.0,269.0,-4.0,-1.47,3769,269.5,7949,position
2020-04-01,CDF,202005,272.0,274.5,269.0,269.0,-4.0,-1.47,1270,269.0,6294,position
2020-04-01,CDF,202006,272.0,274.0,269.0,269.0,-4.0,-1.47,50,269.0,685,position
2020-04-01,CDF,202009,273.0,273.5,269.5,269.5,-3.5,-1.28,58,269.5,257,position
2020-04-01,CDF,202012,272.0,274.0,268.5,268.5,-4.0,-1.47,166,268.5,391,position
2020-04-01,CDF,202004/202005,-0.15,-0.13,-0.15,-0.15,0.0,0.0,903,0.0,0,position
2020-04-01,CDF,202004/202006,-0.21,-0.21,-0.22,-0.22,0.0,0.0,20,0.0,0,position
2020-04-01,CDF,202005/202006,-0.1,-0.1,-0.1,-0.1,0.0,0.0,10,0.0,0,position
2020-04-01,CDF,202005/202009,-0.13,-0.13,-0.13,-0.13,0.0,0.0,1,0.0,0,position
2020-04-01,CEF,202004,37.25,37.5,37.15,37.2,-0.3,-0.8,37,37.2,767,position
2020-04-01,CEF,202005,37.1,37.35,37.1,37.15,-0.25,-0.67,15,37.15,356,position
2020-04-01,CEF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,37.05,66,position
2020-04-01,CEF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,37.35,83,position
2020-04-01,CEF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,37.35,23,position
2020-04-01,CFF,202004,74.1,75.4,74.1,74.4,-0.2,-0.27,64,74.4,141,position
2020-04-01,CFF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,75.1,50,position
2020-04-01,CFF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,74.3,2,position
2020-04-01,CFF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,74.5,1,position
2020-04-01,CFF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,75.3,0,position
2020-04-01,CGF,202004,17.3,17.8,17.3,17.6,0.15,0.86,168,17.6,389,position
2020-04-01,CGF,202005,17.35,17.75,17.35,17.65,0.25,1.44,13,17.65,146,position
2020-04-01,CGF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,17.6,4,position
2020-04-01,CGF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,17.75,3,position
2020-04-01,CGF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,17.75,1,position
2020-04-01,CHF,202004,6.3,6.9,6.3,6.9,0.62,9.87,1734,6.9,3619,position
2020-04-01,CHF,202005,6.3,6.88,6.3,6.88,0.62,9.9,259,6.88,996,position
2020-04-01,CHF,202006,6.46,6.75,6.35,6.75,0.4,6.3,8,6.97,503,position
2020-04-01,CHF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,7.04,5,position
2020-04-01,CHF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,7.08,1,position
2020-04-01,CHF,202004/202005,-0.03,-0.03,-0.03,-0.03,0.0,0.0,26,0.0,0,position
2020-04-01,CJF,202004,17.8,17.95,17.8,17.85,0.0,0.0,62,17.85,361,position
2020-04-01,CJF,202005,17.7,17.8,17.65,17.65,-0.25,-1.4,41,17.65,73,position
2020-04-01,CJF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,17.95,0,position
2020-04-01,CJF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,17.95,0,position
2020-04-01,CJF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,17.9,0,position
2020-04-01,CJF,202004/202005,-0.21,-0.16,-0.22,-0.16,0.0,0.0,9,0.0,0,position
2020-04-01,CK1,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,35.65,1,position
2020-04-01,CKF,202004,35.1,35.55,35.1,35.25,0.1,0.28,87,35.25,1047,position
2020-04-01,CKF,202005,35.35,35.35,35.1,35.1,-0.3,-0.85,28,35.1,186,position
2020-04-01,CKF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,35.4,144,position
2020-04-01,CKF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,35.3,0,position
2020-04-01,CKF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,35.75,0,position
2020-04-01,CKF,202004/202005,-0.16,-0.16,-0.16,-0.16,0.0,0.0,3,0.0,0,position
2020-04-01,CLF,202004,27.65,28.2,27.65,28.05,-0.2,-0.71,16,28.05,552,position
2020-04-01,CLF,202005,27.95,27.95,27.85,27.85,-0.55,-1.94,13,27.85,59,position
2020-04-01,CLF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,28.1,16,position
2020-04-01,CLF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,28.55,0,position
2020-04-01,CLF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,28.5,0,position
2020-04-01,CMF,202004,11.6,11.6,11.6,11.6,0.0,0.0,16,11.6,378,position
2020-04-01,CMF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,11.6,59,position
2020-04-01,CMF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,11.65,153,position
2020-04-01,CMF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,11.45,5,position
2020-04-01,CMF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,11.6,22,position
2020-04-01,CNF,202004,17.65,17.85,17.65,17.8,-0.05,-0.28,35,17.8,444,position
2020-04-01,CNF,202005,17.65,17.75,17.6,17.7,0.1,0.57,32,17.7,48,position
2020-04-01,CNF,202006,17.65,17.65,17.65,17.65,-0.15,-0.84,2,17.65,28,position
2020-04-01,CNF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,17.7,1,position
2020-04-01,CNF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,18.1,2,position
2020-04-01,CNF,202004/202005,-0.19,-0.19,-0.19,-0.19,0.0,0.0,3,0.0,0,position
2020-04-01,CQF,202004,66.0,67.0,65.5,65.7,0.2,0.31,94,65.7,273,position
2020-04-01,CQF,202005,65.8,66.5,65.5,65.5,-0.1,-0.15,48,65.5,40,position
2020-04-01,CQF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,65.7,17,position
2020-04-01,CQF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,64.6,0,position
2020-04-01,CQF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,65.8,0,position
2020-04-01,CQF,202004/202005,-0.21,-0.2,-0.21,-0.2,0.0,0.0,10,0.0,0,position
2020-04-01,CRF,202004,22.5,22.55,22.45,22.45,0.0,0.0,47,22.45,288,position
2020-04-01,CRF,202005,22.5,22.5,22.4,22.4,0.0,0.0,44,22.4,96,position
2020-04-01,CRF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,22.3,20,position
2020-04-01,CRF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,22.45,0,position
2020-04-01,CRF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,22.2,0,position
2020-04-01,CSF,202004,11.0,11.1,10.9,10.95,0.0,0.0,408,10.95,676,position
2020-04-01,CSF,202005,11.0,11.05,10.9,10.9,-0.05,-0.46,131,10.9,317,position
2020-04-01,CSF,202006,11.0,11.0,11.0,11.0,0.0,0.0,2,11.0,10,position
2020-04-01,CSF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,10.9,0,position
2020-04-01,CSF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,11.05,0,position
2020-04-01,CSF,202004/202005,-0.06,-0.04,-0.06,-0.04,0.0,0.0,52,0.0,0,position
2020-04-01,CU1,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,6.97,3,position
2020-04-01,CUF,202004,6.88,7.01,6.61,7.01,0.42,6.37,351,7.01,441,position
2020-04-01,CUF,202005,6.62,6.95,6.61,6.95,0.38,5.78,136,6.95,231,position
2020-04-01,CUF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,6.97,7,position
2020-04-01,CUF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,6.85,5,position
2020-04-01,CUF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,6.85,0,position
2020-04-01,CWF,202004,15.2,15.65,15.15,15.4,0.3,1.99,236,15.4,113,position
2020-04-01,CWF,202005,15.25,15.55,15.2,15.35,0.35,2.33,41,15.35,48,position
2020-04-01,CWF,202006,15.5,15.5,15.5,15.5,0.45,2.99,1,15.5,3,position
2020-04-01,CWF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,15.25,0,position
2020-04-01,CWF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,15.35,0,position
2020-04-01,CWF,202004/202005,-0.07,-0.07,-0.07,-0.07,0.0,0.0,1,0.0,0,position
2020-04-01,CXF,202004,19.55,21.35,19.45,21.1,1.5,7.65,4726,21.1,4472,position
2020-04-01,CXF,202005,19.5,21.2,19.45,21.05,1.65,8.51,316,21.05,156,position
2020-04-01,CXF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,20.95,2,position
2020-04-01,CXF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,21.05,0,position
2020-04-01,CXF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,21.05,0,position
2020-04-01,CXF,202004/202005,-0.04,-0.04,-0.07,-0.07,0.0,0.0,68,0.0,0,position
2020-04-01,CYF,202004,52.3,54.1,51.8,53.5,0.1,0.19,943,53.5,1031,position
2020-04-01,CYF,202005,52.6,53.8,52.6,53.7,0.5,0.94,73,53.7,99,position
2020-04-01,CYF,202006,53.3,53.6,52.8,53.6,0.6,1.13,13,53.6,19,position
2020-04-01,CYF,202009,52.1,52.7,52.1,52.4,-0.2,-0.38,11,52.7,2,position
2020-04-01,CYF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,53.9,1,position
2020-04-01,CYF,202004/202005,-0.23,-0.19,-0.23,-0.19,0.0,0.0,43,0.0,0,position
2020-04-01,CZF,202004,9.09,9.14,9.09,9.13,-0.06,-0.65,69,9.13,1265,position
2020-04-01,CZF,202005,9.07,9.11,9.06,9.07,-0.04,-0.44,30,9.07,535,position
2020-04-01,CZF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,9.16,114,position
2020-04-01,CZF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,9.2,43,position
2020-04-01,CZF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,9.29,25,position
2020-04-01,DCF,202004,18.9,19.0,18.6,18.6,-0.15,-0.8,51,18.6,640,position
2020-04-01,DCF,202005,18.85,18.95,18.5,18.5,-0.2,-1.07,157,18.5,281,position
2020-04-01,DCF,202006,0.0,0.0,0.0,0.0,0.0,0.0,200,18.6,4549,position
2020-04-01,DCF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,18.4,0,position
2020-04-01,DCF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,18.4,0,position
2020-04-01,DCF,202004/202005,-0.11,-0.11,-0.11,-0.11,0.0,0.0,1,0.0,0,position
2020-04-01,DD1,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,7.65,7,position
2020-04-01,DDF,202004,7.62,7.7,7.62,7.63,-0.01,-0.13,312,7.63,1591,position
2020-04-01,DDF,202005,7.67,7.7,7.61,7.64,0.0,0.0,20,7.64,443,position
2020-04-01,DDF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,7.63,1091,position
2020-04-01,DDF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,7.71,122,position
2020-04-01,DDF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,7.78,256,position
2020-04-01,DEF,202004,11.0,11.0,11.0,11.0,0.15,1.38,1,11.0,465,position
2020-04-01,DEF,202005,10.9,10.9,10.9,10.9,0.0,0.0,2,10.9,43,position
2020-04-01,DEF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,88,position
2020-04-01,DEF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,10.85,4,position
2020-04-01,DEF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,11.1,8,position
2020-04-01,DFF,202004,39.25,39.3,38.9,38.9,-0.35,-0.89,325,38.9,1562,position
2020-04-01,DFF,202005,39.1,39.1,38.85,38.85,-0.3,-0.77,291,38.85,1080,position
2020-04-01,DFF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,38.65,1077,position
2020-04-01,DFF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,39.45,0,position
2020-04-01,DFF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,39.45,0,position
2020-04-01,DFF,202004/202005,-0.04,0.06,-0.05,-0.01,0.0,0.0,281,0.0,0,position
2020-04-01,DGF,202004,65.5,68.0,65.4,65.4,-1.5,-2.24,24,65.4,211,position
2020-04-01,DGF,202005,66.8,66.8,66.2,66.2,-0.9,-1.34,6,66.2,66,position
2020-04-01,DGF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,66.1,3,position
2020-04-01,DGF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,66.3,0,position
2020-04-01,DGF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,66.6,0,position
2020-04-01,DGF,202004/202005,-0.29,-0.21,-0.29,-0.21,0.0,0.0,2,0.0,0,position
2020-04-01,DHF,202004,69.8,70.3,69.7,69.7,-0.1,-0.14,1332,69.7,7045,position
2020-04-01,DHF,202005,70.2,70.3,69.7,69.8,0.0,0.0,340,69.8,4411,position
2020-04-01,DHF,202006,70.2,70.2,69.7,69.7,-0.1,-0.14,30,69.7,455,position
2020-04-01,DHF,202009,69.9,70.2,69.7,69.7,0.1,0.14,50,69.7,206,position
2020-04-01,DHF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,69.2,1,position
2020-04-01,DHF,202004/202005,-0.07,-0.06,-0.07,-0.07,0.0,0.0,253,0.0,0,position
2020-04-01,DHF,202004/202006,-0.07,-0.07,-0.07,-0.07,0.0,0.0,1,0.0,0,position
2020-04-01,DHF,202004/202009,-0.12,-0.12,-0.12,-0.12,0.0,0.0,2,0.0,0,position
2020-04-01,DHF,202005/202006,-0.03,-0.03,-0.03,-0.03,0.0,0.0,10,0.0,0,position
2020-04-01,DIF,202004,25.5,25.85,24.9,25.75,0.2,0.78,1016,25.7,1468,position
2020-04-01,DIF,202005,25.35,25.7,24.9,25.65,0.3,1.18,109,25.65,213,position
2020-04-01,DIF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,25.6,9,position
2020-04-01,DIF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,25.6,0,position
2020-04-01,DIF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,25.6,22,position
2020-04-01,DIF,202004/202005,-0.14,-0.14,-0.14,-0.14,0.0,0.0,6,0.0,0,position
2020-04-01,DJF,202004,200.0,201.0,198.0,198.0,-3.0,-1.49,61,198.0,77,position
2020-04-01,DJF,202005,200.5,200.5,198.5,198.5,-0.5,-0.25,17,198.5,61,position
2020-04-01,DJF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,197.5,5,position
2020-04-01,DJF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,197.5,0,position
2020-04-01,DJF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,197.0,0,position
2020-04-01,DJF,202004/202005,-0.26,-0.26,-0.29,-0.28,0.0,0.0,9,0.0,0,position
2020-04-01,DKF,202004,60.6,60.6,59.5,59.5,-0.6,-1.0,48,59.5,282,position
2020-04-01,DKF,202005,59.4,59.5,59.4,59.5,-0.1,-0.17,4,59.5,64,position
2020-04-01,DKF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,59.6,152,position
2020-04-01,DKF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,59.7,2,position
2020-04-01,DKF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,60.2,0,position
2020-04-01,DLF,202004,106.5,107.5,106.5,107.0,0.5,0.47,39,107.0,266,position
2020-04-01,DLF,202005,106.5,0.0,0.0,106.5,0.0,0.0,10,107.0,45,position
2020-04-01,DLF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,108.0,1,position
2020-04-01,DLF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,107.5,0,position
2020-04-01,DLF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,108.5,0,position
2020-04-01,DLF,202004/202005,-0.25,-0.25,-0.27,-0.26,0.0,0.0,10,0.0,0,position
2020-04-01,DNF,202004,24.05,24.3,24.0,24.05,0.0,0.0,232,24.05,1487,position
2020-04-01,DNF,202005,24.0,24.25,24.0,24.05,0.0,0.0,61,24.05,296,position
2020-04-01,DNF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,24.1,39,position
2020-04-01,DNF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,24.3,11,position
2020-04-01,DNF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,24.4,0,position
2020-04-01,DNF,202004/202005,-0.06,-0.06,-0.07,-0.07,0.0,0.0,25,0.0,0,position
2020-04-01,DOF,202004,15.2,15.4,15.2,15.3,-0.2,-1.29,36,15.3,286,position
2020-04-01,DOF,202005,15.1,15.3,15.1,15.2,-0.2,-1.3,18,15.2,86,position
2020-04-01,DOF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,15.55,5,position
2020-04-01,DOF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,15.45,2,position
2020-04-01,DOF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,15.55,10,position
2020-04-01,DPF,202004,19.4,19.9,19.35,19.5,-0.3,-1.52,30,19.5,349,position
2020-04-01,DPF,202005,19.4,19.4,19.3,19.3,-0.5,-2.53,11,19.3,40,position
2020-04-01,DPF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,0,position
2020-04-01,DPF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,19.35,2,position
2020-04-01,DPF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,0,position
2020-04-01,DQF,202004,5.23,5.75,5.23,5.75,0.52,9.94,2606,5.75,3017,position
2020-04-01,DQF,202005,5.37,5.78,5.34,5.78,0.52,9.89,273,5.78,935,position
2020-04-01,DQF,202006,5.65,5.67,5.65,5.67,0.51,9.88,5,5.67,67,position
2020-04-01,DQF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,5.83,7,position
2020-04-01,DQF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,5.81,4,position
2020-04-01,DSF,202004,15.7,16.15,15.6,15.75,0.05,0.32,1124,15.75,1229,position
2020-04-01,DSF,202005,15.7,16.1,15.55,15.7,0.1,0.64,215,15.7,318,position
2020-04-01,DSF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,15.55,16,position
2020-04-01,DSF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,15.65,10,position
2020-04-01,DSF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,15.85,4,position
2020-04-01,DSF,202004/202005,-0.06,-0.06,-0.07,-0.07,0.0,0.0,3,0.0,0,position
2020-04-01,DUF,202004,25.8,26.5,25.4,26.15,0.4,1.55,683,26.15,1356,position
2020-04-01,DUF,202005,25.5,26.35,25.5,26.35,0.7,2.73,107,26.35,780,position
2020-04-01,DUF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,26.1,445,position
2020-04-01,DUF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,26.2,2,position
2020-04-01,DUF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,26.2,0,position
2020-04-01,DUF,202004/202005,-0.11,-0.11,-0.11,-0.11,0.0,0.0,36,0.0,0,position
2020-04-01,DVF,202004,325.0,333.5,322.0,330.5,3.5,1.07,1262,331.0,1585,position
2020-04-01,DVF,202005,326.0,332.5,326.0,330.0,4.0,1.23,240,330.0,792,position
2020-04-01,DVF,202006,328.0,329.5,328.0,329.5,4.5,1.38,4,331.0,149,position
2020-04-01,DVF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,330.5,79,position
2020-04-01,DVF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,332.0,15,position
2020-04-01,DVF,202004/202005,-0.7,-0.7,-0.76,-0.73,0.0,0.0,223,0.0,0,position
2020-04-01,DWF,202004,69.6,70.0,68.8,69.2,-0.4,-0.57,51,69.2,203,position
2020-04-01,DWF,202005,69.0,69.6,68.6,69.0,-0.4,-0.58,36,69.0,69,position
2020-04-01,DWF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,69.7,33,position
2020-04-01,DWF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,68.6,2,position
2020-04-01,DWF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,68.9,0,position
2020-04-01,DWF,202004/202005,-0.21,-0.21,-0.29,-0.29,0.0,0.0,7,0.0,0,position
2020-04-01,DXF,202004,24.5,24.5,24.2,24.45,-0.05,-0.2,260,24.45,487,position
2020-04-01,DXF,202005,24.2,24.35,24.15,24.25,-0.3,-1.22,114,24.25,184,position
2020-04-01,DXF,202006,24.15,24.15,24.1,24.1,-0.25,-1.03,3,24.1,2,position
2020-04-01,DXF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,23.35,27,position
2020-04-01,DXF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,24.8,0,position
2020-04-01,DXF,202004/202005,-0.09,-0.09,-0.12,-0.12,0.0,0.0,27,0.0,0,position
2020-04-01,DYF,202004,38.85,38.85,38.4,38.4,-0.85,-2.17,46,38.4,389,position
2020-04-01,DYF,202005,38.85,38.9,38.3,38.3,-0.75,-1.92,47,38.3,129,position
2020-04-01,DYF,202006,38.65,38.65,38.65,38.65,-0.7,-1.78,3,38.65,15,position
2020-04-01,DYF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,38.35,0,position
2020-04-01,DYF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,38.65,0,position
2020-04-01,DYF,202004/202005,-0.19,-0.14,-0.19,-0.14,0.0,0.0,28,0.0,0,position
2020-04-01,DYF,202005/202006,-0.01,-0.01,-0.01,-0.01,0.0,0.0,2,0.0,0,position
2020-04-01,DZF,202004,37.4,37.6,36.7,36.85,-0.1,-0.27,38,36.85,60,position
2020-04-01,DZF,202005,37.3,37.3,36.75,36.8,0.0,0.0,10,36.8,25,position
2020-04-01,DZF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,36.85,1,position
2020-04-01,DZF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,36.15,0,position
2020-04-01,DZF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,36.5,0,position
2020-04-01,EEF,202004,12.95,13.1,12.8,13.0,-0.05,-0.38,29,13.0,127,position
2020-04-01,EEF,202005,12.8,13.1,12.8,13.1,0.05,0.38,15,13.1,342,position
2020-04-01,EEF,202006,13.0,13.1,13.0,13.1,-0.05,-0.38,2,13.1,7,position
2020-04-01,EEF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,0,position
2020-04-01,EEF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,13.05,0,position
