"event_date","event_title"
2025-10-09,"TSMC Monthly Sales - September 2025"
2025-11-10,"TSMC Monthly Sales - October 2025"
2025-12-10,"TSMC Monthly Sales - November 2025"
2026-01-09,"TSMC Monthly Sales - December 2025"
2025-09-10,"TSMC Monthly Sales - August 2025"
2025-08-08,"TSMC Monthly Sales - July 2025"
2025-07-17,"TSMC 2Q'25 Results - Earnings Conference and Conference Call"
2025-07-10,"TSMC Monthly Sales - June 2025"
2025-06-10,"TSMC Monthly Sales - May 2025"
2025-05-09,"TSMC Monthly Sales - April 2025"
2025-04-17,"TSMC 1Q'25 Results - Earnings Conference and Conference Call"
2025-04-10,"TSMC Monthly Sales - March 2025"
2025-03-10,"TSMC Monthly Sales - February 2025"
2025-02-10,"TSMC Monthly Sales - January 2025"
2025-01-16,"TSMC 4Q'24 Results - Earnings Conference and Conference Call"
2025-01-10,"TSMC Monthly Sales - December 2024"
2024-12-10,"TSMC Monthly Sales - November 2024"
2024-11-08,"TSMC Monthly Sales - October 2024"
2024-10-17,"TSMC 3Q'24 Results - Earnings Conference and Conference Call"
2024-10-09,"TSMC Monthly Sales - September 2024"
2024-09-10,"TSMC Monthly Sales - August 2024"
2024-08-09,"TSMC Monthly Sales - July 2024"
2024-07-18,"TSMC 2Q'24 Results - Earnings Conference and Conference Call"
2024-07-10,"TSMC Monthly Sales - June 2024"
2024-06-07,"TSMC Monthly Sales - May 2024"
2024-05-10,"TSMC Monthly Sales - April 2024"
2024-04-18,"TSMC 1Q'24 Results - Earnings Conference and Conference Call"
2024-04-10,"TSMC Monthly Sales - March 2024"
2024-03-08,"TSMC Monthly Sales - February 2024"
2024-02-07,"TSMC Monthly Sales - January 2024"
2024-01-18,"TSMC 4Q'23 Results - Earnings Conference and Conference Call"
2024-01-10,"TSMC Monthly Sales - December 2023"
2023-12-08,"TSMC Monthly Sales - November 2023"
2023-11-10,"TSMC Monthly Sales - October 2023"
2023-10-19,"TSMC 3Q'23 Results - Earnings Conference and Conference Call"
2023-10-06,"TSMC Monthly Sales - September 2023"
2023-09-08,"TSMC Monthly Sales - August 2023"
2023-08-10,"TSMC Monthly Sales - July 2023"
2023-07-20,"TSMC 2Q'23 Results - Earnings Conference and Conference Call"
2023-07-10,"TSMC Monthly Sales - June 2023"
2023-06-09,"TSMC Monthly Sales - May 2023"
2023-06-06,"2023 General Shareholders' Meeting"
2023-05-10,"TSMC Monthly Sales - April 2023"
2023-05-10,"TSMC Monthly Sales - April 2023"
2023-04-20,"TSMC 1Q'23 Results - Earnings Conference and Conference Call"
2023-04-10,"TSMC Monthly Sales - March 2023"
2023-03-10,"TSMC Monthly Sales - February 2023"
2023-02-10,"TSMC Monthly Sales - January 2023"
2023-01-12,"TSMC 4Q22 Results - Earnings Conference and Conference Call"
2023-01-10,"TSMC Monthly Sales - December 2022"
2022-12-09,"TSMC Monthly Sales - November 2022"
2022-11-10,"TSMC Monthly Sales - October 2022"
2022-10-13,"TSMC 3Q22 Results - Earnings Conference and Conference Call"
2022-10-07,"TSMC Monthly Sales - September 2022"
2022-09-08,"TSMC Monthly Sales - August 2022"
2022-08-10,"TSMC Monthly Sales - July 2022"
2022-07-14,"TSMC 2Q22 Results - Earnings Conference and Conference Call"
2022-07-08,"TSMC Monthly Sales - June 2022"
2022-06-10,"TSMC Monthly Sales - May 2022"
2022-05-10,"TSMC Monthly Sales - April 2022"
2022-04-14,"TSMC 1Q22 Results - Earnings Conference and Conference Call"
2022-04-08,"TSMC Monthly Sales - March 2022"
2022-03-10,"TSMC Monthly Sales - February 2022"
2022-02-10,"TSMC Monthly Sales - January 2022"
2022-01-13,"TSMC 4Q21 Results - Earnings Conference and Conference Call"
2022-01-10,"TSMC Monthly Sales - December 2021"
2021-12-10,"TSMC Monthly Sales - November 2021"
2021-11-10,"TSMC Monthly Sales - October 2021"
2021-10-14,"TSMC 3Q21 Results - Earnings Conference and Conference Call"
2021-10-08,"TSMC Monthly Sales - September 2021"
2021-09-10,"TSMC Monthly Sales - August 2021"
2021-08-10,"TSMC Monthly Sales - July 2021"
2021-07-15,"TSMC 2Q21 Results - Earnings Conference and Conference Call"
2021-07-09,"TSMC Monthly Sales - June 2021"
2021-06-10,"TSMC Monthly Sales - May 2021"
2021-05-10,"TSMC Monthly Sales - April 2021"
2021-04-15,"TSMC 1Q21 Results - Earnings Conference and Conference Call"
2021-04-09,"TSMC Monthly Sales - March 2021"
2021-03-10,"TSMC Monthly Sales - Â February 2021"
2021-02-09,"TSMC Monthly Sales - January 2021"
2021-01-14,"TSMC 4Q20 Results - Earnings Conference and Conference Call"
2021-01-08,"TSMC Monthly Sales - December 2020"
2020-12-10,"TSMC Monthly Sales - November 2020"
2020-11-10,"TSMC Monthly Sales - October 2020"
2020-10-15,"TSMC 3Q20 Results - Earnings Conference and Conference Call"
2020-10-08,"TSMC Monthly Sales - September 2020"
2020-09-10,"TSMC Monthly Sales - August 2020"
2020-08-10,"TSMC Monthly Sales - July 2020"
2020-07-16,"TSMC 2Q20 Results - Earnings Conference and Conference Call"
2020-07-10,"TSMC Monthly Sales - June 2020"
2020-06-10,"TSMC Monthly Sales - May 2020"
2020-05-08," TSMC Monthly Sales - April 2020"
2020-04-16,"TSMC 1Q20 Results - Earnings Conference and Conference Call"
2020-04-10,"TSMC Monthly Sales - March 2020"
2020-03-10," TSMC Monthly Sales - February 2020"
2020-02-10," TSMC Monthly Sales - January 2020"
2020-01-16,"TSMC 4Q19 Results - Earnings Conference and Conference Call"
2020-01-10,"TSMC Monthly Sales - December 2019"
2019-12-10,"TSMC Monthly Sales - November 2019"
2019-11-08,"TSMC Monthly Sales - October 2019"
2019-10-17,"TSMC 3Q19 Results - Earnings Conference and Conference Call"
2019-10-09,"TSMC Monthly Sales - September 2019"
2019-09-10,"TSMC Monthly Sales - August 2019"
2019-08-12,"TSMC Monthly Sales - July 2019"
2019-07-18,"2Q19 Results - Earnings Conference and Conference Call"
2019-07-10,"TSMC Monthly Sales - June 2019"
2019-06-10,"TSMC Monthly Sales - May 2019"
2019-05-10,"Monthly Sales - April 2019"
2019-04-18,"1Q19 Results - Earnings Conference and Conference Call"
2019-04-10,"Monthly Sales - March 2019"
2019-03-08,"Monthly Sales - February 2019"
2019-02-15,"Monthly Sales - January 2019"
2019-01-17,"4Q18 Results - Earnings Conference and Conference Call"
2019-01-10,"Monthly Sales - Decebmer 2018"
2018-12-10,"Monthly Sales - November 2018"
2018-11-09,"Monthly Sales - October 2018"
2018-10-18,"3Q18 Results - Earnings Conference and Conference Call"
2018-10-09,"Monthly Sales - September 2018"
2018-09-10,"Monthly Sales - August 2018"
2018-08-10,"Monthly Sales - July 2018"
2018-07-19,"2Q18 Results - Earnings Conference and Conference Call"
2018-07-10,"Monthly Sales - June 2018"
2018-06-08,"Monthly Sales - May 2018"
2018-05-10,"Monthly Sales - April 2018"
2018-04-19,"1Q18 Results - Earnings Conference and Conference Call"
2018-04-10,"Monthly Sales - March 2018"
2018-03-09,"Monthly Sales - February 2018"
2018-02-09,"Monthly Sales - January 2018"
2018-01-18,"4Q17 Results - Earnings Conference and Conference Call"
2018-01-10,"Monthly Sales - December 2017"
2017-12-08,"Monthly Sales - November 2017"
2017-11-10,"Monthly Sales - October 2017"
2017-10-19,"3Q17 Results - Earnings Conference and Conference Call"
2017-10-06,"Monthly Sales - September 2017"
2017-09-08,"Monthly Sales - August 2017"
2017-08-10,"Monthly Sales - July 2017"
2017-07-13,"2Q17 Results - Earnings Conference and Conference Call"
2017-07-10,"Monthly Sales - June 2017"
2017-06-09,"Monthly Sales - May 2017"
2017-06-08,"Annual General Shareholders' Meeting"
2017-05-10,"Monthly Sales - April 2017"
2017-04-13,"1Q17 Results - Earnings Conference and Conference Call"
2017-04-10,"Monthly Sales - March 2017"
2017-03-10,"Monthly Sales - February 2017"
2017-02-10,"Monthly Sales - January 2017"
2017-01-12,"4Q16 Results - Earnings Conference and Conference Call"
2017-01-10,"Monthly Sales - December 2016"
2016-12-09,"Monthly Sales - November 2016"
2016-11-10,"Monthly Sales - October 2016"
2016-10-13,"3Q16 Results - Earnings Conference and Conference Call"
2016-10-07,"Monthly Sales - September 2016"
2016-09-09,"Monthly Sales - August 2016"
2016-08-10,"Monthly Sales - July 2016"
2016-07-14,"2Q16 Results - Earnings Conference and Conference Call"
2016-07-11,"Monthly Sales - June 2016"
2016-06-08,"Monthly Sales - May 2016"
2016-06-07,"Annual General Shareholders' Meeting"
2016-05-10,"Monthly Sales - April 2016"
2016-04-14,"1Q16 Results - Earnings Conference and Conference Call"
2016-04-08,"Monthly Sales - March 2016"
2016-03-10,"Monthly Sales - February 2016"
2016-02-15,"Monthly Sales - January 2016"
2016-01-14,"4Q15 Results - Earnings Conference and Conference Call"
2016-01-08,"Monthly Sales - December 2015"
2015-12-10,"Monthly Sales - November 2015"
2015-11-10,"Monthly Sales - October 2015"
2015-10-15,"3Q15 Results - Earnings Conference and Conference Call"
2015-10-08,"Monthly Sales - September 2015"
2015-09-10,"Monthly Sales - August 2015"
2015-08-10,"Monthly Sales - July 2015"
2015-07-16,"2Q15 Results - Earnings Conference and Conference Call"
2015-07-10,"Monthly Sales - June 2015"
2015-06-10,"Monthly Sales - May 2015"
2015-06-09,"Annual General Shareholders' Meeting"
2015-05-08,"Monthly Sales - April 2015"
2015-04-16,"1Q15 Results - Earnings Conference and Conference Call"
2015-04-10,"Monthly Sales - March 2015"
2015-03-10,"Monthly Sales - February 2015"
2015-02-10,"Monthly Sales - January 2015"
2015-01-15,"4Q14 Results - Earnings Conference and Conference Call"
2015-01-09,"Monthly Sales - December 2014"
2014-12-10,"Monthly Sales - November 2014"
2014-11-10,"Monthly Sales - October 2014"
2014-10-16,"3Q14 Results - Earnings Conference and Conference Call"
2014-10-09,"Monthly Sales - September 2014"
2014-09-10,"Monthly Sales - August 2014"
2014-08-08,"Monthly Sales - July 2014"
2014-07-16,"2Q14 Results - Earnings Conference and Conference Call"
2014-07-10,"Monthly Sales - June 2014"
2014-06-10,"Monthly Sales - May 2014"
2014-05-09,"Monthly Sales - April 2014"
2014-04-17,"1Q14 Results - Earnings Conference and Conference Call"
2014-04-10,"Monthly Sales - March 2014"
2014-03-10,"Monthly Sales - February 2014"
2014-02-10,"Monthly Sales - January 2014"
2014-01-16,"4Q13 Results - Earnings Conference and Conference Call"
2014-01-10,"Monthly Sales - December 2013"
